"FirmId","PurchaseOrderNumber","VendorNumber","VendorName","WarehouseId","PurchasingAddressCode","OrderDateRaw","OrderDateIso","PromisedDateRaw","PromisedDateIso","NotBeforeDateRaw","NotBeforeDateIso","RequiredDateRaw","RequiredDateIso","LastReceiptDateRaw","LastReceiptDateIso","HoldFlag","PrintStatus","PaymentTermsCode","FreightTerms","ShippingMethod","Acknowledgment","Fob","MessageCode","RequisitionNumber","PurchaseOrderStatus","IsOpen","IsClosed","IsCanceled","VendorResolutionStatus","SourceRecordIdentity"
"01","0027530","000099","M&M FASTENERS, INC.","30","","B41013","2014-10-13","","","","","B41014","2014-10-14","B41216","2014-12-16","","","60","","WILL CALL","RICK COOK","","","","ActiveOpenFile","true","false","false","Resolved","303130303030393930303237353330"
"01","0028081","000099","M&M FASTENERS, INC.","12","","B50518","2015-05-18","","","","","B50519","2015-05-19","B50519","2015-05-19","","","01","","UPS","BRIAN","","","","ActiveOpenFile","true","false","false","Resolved","303130303030393930303238303831"
"01","0028247","000099","M&M FASTENERS, INC.","30","","B50811","2015-08-11","","","","","B50811","2015-08-11","B50818","2015-08-18","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303030393930303238323437"
"01","0040127","000099","M&M FASTENERS, INC.","01","","B71107","2017-11-07","","","","","B71108","2017-11-08","","","","","01","","WILL CALL","BEN BLOOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303030393930303430313237"
"01","0027560","000104","JAMECO","A4","","B41022","2014-10-22","","","","","B41023","2014-10-23","","","","","01","","UPS","PATRLIA","","","","ActiveOpenFile","true","false","false","Resolved","303130303031303430303237353630"
"01","0026585","000118","T.E. BOUTON COMPANY","01","","B31015","2013-10-15","","","","","B31023","2013-10-23","B31101","2013-11-01","","","01","","UPS","TOM","","","","ActiveOpenFile","true","false","false","Resolved","303130303031313830303236353835"
"01","0026760","000144","BISCO INDUSTRIES /","12","","B31212","2013-12-12","","","","","B40120","2014-01-20","B31223","2013-12-23","","","01","","UPS","JENNIFER","","","","ActiveOpenFile","true","false","false","Resolved","303130303031343430303236373630"
"01","0027288","000144","BISCO INDUSTRIES /","30","","B40722","2014-07-22","","","","","B40805","2014-08-05","B40909","2014-09-09","","","01","","UPS","JENNIFER","","","","ActiveOpenFile","true","false","false","Resolved","303130303031343430303237323838"
"01","0038382","000144","BISCO INDUSTRIES /","01","","B51005","2015-10-05","","","","","B51008","2015-10-08","B51012","2015-10-12","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031343430303338333832"
"01","0041916","000144","BISCO INDUSTRIES /","38","","B91107","2019-11-07","","","","","B91203","2019-12-03","C00227","2020-02-27","","","01","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031343430303431393136"
"01","0039043","000155","BLAKE WIRE+CABLE CORP.","A2","","B60822","2016-08-22","","","","","B60824","2016-08-24","B60824","2016-08-24","","","01","","UPS","MARTIN","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353530303339303433"
"01","0039565","000155","BLAKE WIRE+CABLE CORP.","A2","","B70306","2017-03-06","","","","","B70307","2017-03-07","","","","","01","","UPS","MARTIN WEINER","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353530303339353635"
"01","0040967","000155","BLAKE WIRE+CABLE CORP.","01","","B81022","2018-10-22","","","","","B81022","2018-10-22","","","","","01","","W/C","MARTIN","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353530303430393637"
"01","0041310","000155","BLAKE WIRE+CABLE CORP.","31","","B90328","2019-03-28","","","","","B90405","2019-04-05","B90401","2019-04-01","","","01","","FED-EX","CLAUDIA","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353530303431333130"
"01","0045090","000155","BLAKE WIRE+CABLE CORP.","72","","C40807","2024-08-07","","","","","C40815","2024-08-15","C40819","2024-08-19","","","01","","FED-EX","MARTIN","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353530303435303930"
"01","0044167","000156","R.S. HUGHES","01","","C30109","2023-01-09","","","","","C30116","2023-01-16","C30313","2023-03-13","","","01","","UPS GRND","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353630303434313637"
"01","0044348","000156","R.S. HUGHES","01","","C30403","2023-04-03","","","","","C30414","2023-04-14","","","","","01","","FED-EX","ALEX","","","","ActiveOpenFile","true","false","false","Resolved","303130303031353630303434333438"
"01","0026529","000174","PCB POWER INC.","01","","B30924","2013-09-24","","","","","B41201","2014-12-01","B31007","2013-10-07","","","60","","UPS","FRANK","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303236353239"
"01","0026873","000174","PCB POWER INC.","93","","B40207","2014-02-07","","","","","B40221","2014-02-21","B40225","2014-02-25","","","60","","UPS","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303236383733"
"01","0026913","000174","PCB POWER INC.","12","","B40310","2014-03-10","","","","","B40324","2014-03-24","B40731","2014-07-31","","","60","","UPS","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303236393133"
"01","0026991","000174","PCB POWER INC.","A1","","B40402","2014-04-02","","","","","B50301","2015-03-01","B50414","2015-04-14","","","60","","UPS","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303236393931"
"01","0027659","000174","PCB POWER INC.","12","","B41125","2014-11-25","","","","","B41208","2014-12-08","B50413","2015-04-13","","","60","","UPS","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303237363539"
"01","0027751","000174","PCB POWER INC.","12","","B50120","2015-01-20","","","","","B50120","2015-01-20","B50417","2015-04-17","","","60","","W/C","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303237373531"
"01","0027947","000174","PCB POWER INC.","A3","","B50401","2015-04-01","","","","","B50423","2015-04-23","B50430","2015-04-30","","","60","","UPS","FRANK JR","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303237393437"
"01","0028040","000174","PCB POWER INC.","A3","","B50608","2015-06-08","","","","","B50623","2015-06-23","B50624","2015-06-24","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238303430"
"01","0028224","000174","PCB POWER INC.","12","","B50729","2015-07-29","","","","","B50805","2015-08-05","B51027","2015-10-27","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238323234"
"01","0028244","000174","PCB POWER INC.","12","","B50810","2015-08-10","","","","","B50811","2015-08-11","B60602","2016-06-02","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238323434"
"01","0028250","000174","PCB POWER INC.","12","","B50811","2015-08-11","","","","","B50813","2015-08-13","B60104","2016-01-04","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238323530"
"01","0028495","000174","PCB POWER INC.","72","","B60111","2016-01-11","","","","","B60210","2016-02-10","B60121","2016-01-21","","","60","","","","","","","ActiveOpenFile","true","false","false","Resolved","303130303031373430303238343935"
