Ord Dt	Cust#	Cust Name	P/O	Sls Ord#	Ln#	WorkOrd	WorkOrd Qty	Qty Shp'd	Qty Open	Item#	Description	Ship Dt	Price	Ext Price	MatlCost	LabrCost	TotlCost
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	010	0115244	         20	          0	          1	500144-103          	PANEL ASSEMBLY 	06/15/23	   3400.00	   3400.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	040	UNKNOWN	          0	          0	         -1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	050	UNKNOWN	          0	          0	          1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	090	UNKNOWN	          0	          0	         -1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	100	UNKNOWN	          0	          0	          1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	140	UNKNOWN	          0	          0	         -1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
03/17/23	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP29243 	0011694	150	UNKNOWN	          0	          0	          1	500144-103          	PANEL ASSEMBLY 	06/15/23	      0.00	      0.00 	    954.79   	     40.00   	    994.79   
02/16/24	001165	AERO FLUID PRODUCTS      	P129530   	0011833	010	0115359	        150	          0	          2	718720-1            	ISOLATION SWITCH ASSY 	10/16/24	   1150.00	   2300.00 	    213.31   	     96.00   	    309.31   
01/27/25	549250	MASON ELECTRIC CO.       	300016503 	0011948	030	UNKNOWN	          0	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	01/27/25	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
08/21/25	549250	MASON ELECTRIC CO.       	300019634 	0012015	040	UNKNOWN	          0	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	11/10/25	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
09/08/25	001082	ABBOTT TECHNOLOGIES, INC.	47398     	0012023	020	0115533	         12	          0	          1	B11280-17           	POWERBOARD SMT ASSY 	11/12/25	    425.62	    425.62 	     67.00   	     72.40   	    139.40   
08/21/25	549250	MASON ELECTRIC CO.       	300019633 	0012014	040	UNKNOWN	          0	          0	          2	799-057-3           	CCA, LH, PROGRAMMED 	12/10/25	    439.33	    878.66 	      0.00   	     30.00   	     30.00   
01/17/24	001165	AERO FLUID PRODUCTS      	P128954   	0011824	090	UNKNOWN	          0	          0	          4	28785-999           	POWER CABLE ASSY C-13CE 	01/02/26	    713.30	   2853.20 	     76.19   	     90.00   	    166.19   
12/09/25	549250	MASON ELECTRIC CO.       	300021707 	0012046	010	0115560	         40	          0	          5	799-057-2           	CCA, RH, PROGRAMMED 	01/23/26	    439.33	   2196.65 	      0.00   	     30.00   	     30.00   
02/04/26	549250	MASON ELECTRIC CO.       	N/A       	0012032	010	UNKNOWN	          0	          0	         13	799-057-3           	CCA, LH, PROGRAMMED 	02/04/26	      0.00	      0.00 	      0.00   	     30.00   	     30.00   
02/04/26	549250	MASON ELECTRIC CO.       	N/A       	0012032	040	UNKNOWN	          0	          0	          2	799-057-2           	CCA, RH, PROGRAMMED 	02/04/26	      0.00	      0.00 	      0.00   	     30.00   	     30.00   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP38318 	0012012	040	UNKNOWN	          0	          0	         -1	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     82.41   	     40.00   	    122.41   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP38318 	0012012	050	UNKNOWN	          0	          0	          1	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     82.41   	     40.00   	    122.41   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP38318 	0012012	075	UNKNOWN	          0	          0	         -2	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     82.41   	     40.00   	    122.41   
02/17/26	578350	SAFRAN CABIN LAMPHUN LTD.	MLEP38318 	0012012	080	UNKNOWN	          0	          0	          2	600280-103          	CONTROLLER BOARD 	02/17/26	      0.00	      0.00 	     82.41   	     40.00   	    122.41   
02/05/26	549250	MASON ELECTRIC CO.       	300022069 	0012059	010	0115576	         80	          0	          1	799-057-3           	CCA, LH, PROGRAMMED 	02/21/26	    439.33	    439.33 	      0.00   	     30.00   	     30.00   
02/05/26	549250	MASON ELECTRIC CO.       	300022140 	0012060	010	0115578	         80	          0	          1	799-057-2           	CCA, RH, PROGRAMMED 	03/01/26	    439.33	    439.33 	      0.00   	     30.00   	     30.00   
