"CanonicalTable","Field","FirmId","CodeDomain","CodeType","CodeValue","OccurrenceCount","CurrentDescription","Classification"
"CustomerMaster","ShippingMethodCode","01","Sales","ShippingMethod","UPS-COLL","2",,"TransactionDerived"
"CustomerMaster","ShippingMethodCode","01","Sales","ShippingMethod","USPS","1",,"TransactionDerived"
"CustomerMaster","ShippingMethodCode","01","Sales","ShippingMethod","W/C","12",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","DELIVERY","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","DHL","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FED EX","2",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FED EX PREPAID","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FED-EX","105",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FEDEX NEXT DAY","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FREE FEDEX OVER","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","FREE SHIPPING","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","TDA","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","TRUCK","2",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UBER","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS","245",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS BLUE","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS GRND","4",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS GROUND","3",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS ORANGE","1",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS RED","2",,"TransactionDerived"
"PurchaseOrder","ShippingMethod","01","Purchasing","ShippingMethod","UPS UPGRADE","1",,"TransactionDerived"
